Status,Customer Age,Dependents,Tenure,Total Relationship Count,Months Inactive,Contacts Made,Credit Limit,Total Revolving Balance,Average Revolving Available,Trans Amount Change,Total Trans Amount,Total Trans Count,Trans Count Change,Avg Utilization Ratio,Attrited,Gender_male,Education_College,Education_Doctorate,Education_Graduate,Education_High School,Education_Post-Graduate,Education_Uneducated,Education_Unknown,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Marital Status_Unknown,Income Level Code,Card Level_Blue,Card Level_Gold,Card Level_Platinum,Card Level_Silver,Avg Trans Amount,Avg Months between Contacts,Contacts per Relationship,Trans Amt per Credit Limit,Trans Count per Credit Limit,Total Rev Bal to Credit Limit,Avail Rev Bal to Credit Limit,Trans Amt to Count Change,Contacts per Inactive Mo
Existing Customer,42,5,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,1,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,28.595238095238095,10.333333333333334,0.4,0.17797866034380558,0.006224066390041493,0.21739774748073504,0.782602252519265,1.2220588235294116,0.6666666666666666
Existing Customer,65,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,50.53846153846154,13.5,0.5,0.1444749862561847,0.0028587135788895,0.17449147883452445,0.8255085211654756,1.0505865102639296,1.5
Existing Customer,56,1,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,90.52941176470588,36.0,0.0,0.13096757722747,0.0014466853884775764,0.0,1.0,1.0452307692307692,0.0
Existing Customer,35,3,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,39.72727272727273,7.5,0.6,0.1533871533871534,0.003861003861003861,0.19492219492219492,0.8050778050778051,0.5815,3.0
Existing Customer,57,2,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.27899999999999997,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,54.13793103448276,16.0,0.4,0.6444991789819376,0.011904761904761904,0.2791461412151067,0.7208538587848933,1.9476268412438624,1.0
Existing Customer,44,4,37,5,1,2,4234.0,972,3262.0,1.7069999999999999,1348,27,1.7,0.23,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,49.925925925925924,12.333333333333334,0.4,0.31837505904581953,0.006376948512045347,0.2295701464336325,0.7704298535663675,1.0041176470588236,2.0
Existing Customer,48,4,36,6,2,3,30367.0,2362,28005.0,1.7080000000000002,1671,27,0.929,0.078,0,1,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,61.888888888888886,9.0,0.5,0.05502683834425528,0.0008891230612177693,0.07778180261468041,0.9222181973853196,1.838536060279871,1.5
Existing Customer,41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,48.95238095238095,17.0,0.25,0.0759512375323236,0.0015515330624307352,0.095382342076099,0.904617657923901,0.40184615384615385,0.25
Existing Customer,61,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.7879999999999999,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,44.53333333333333,14.0,1.5,0.4184152834325086,0.009395552771688067,0.7882868775446289,0.21171312245537113,1.6019247594050743,1.5
Existing Customer,45,2,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,57.476190476190474,12.333333333333334,0.3333333333333333,0.0834139599170698,0.0014512785072563926,0.07995853489979267,0.9200414651002073,1.0627062706270627,2.0
Existing Customer,47,1,42,5,2,0,20979.0,1800,19179.0,0.9059999999999999,1178,27,0.929,0.086,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,43.629629629629626,42.0,0.0,0.05615138948472282,0.001287001287001287,0.0858000858000858,0.9141999141999142,0.9752421959095801,0.0
Attrited Customer,62,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,43.25,12.25,1.5,0.4811235486338038,0.011124243899047486,0.0,1.0,1.7449999999999999,1.0
Existing Customer,41,3,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,51.72222222222222,16.5,0.25,0.20827740492170022,0.004026845637583893,0.15212527964205816,0.8478747203579419,1.0235518777848505,0.5
Existing Customer,47,4,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,48.95652173913044,12.0,0.6666666666666666,0.4518459069020867,0.009229534510433388,0.6260032102728732,0.3739967897271268,1.6232294617563738,0.6666666666666666
Existing Customer,54,2,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,52.857142857142854,10.5,0.75,0.09085700253744781,0.0017189162642219857,0.0,1.0,1.4333333333333333,1.5
Existing Customer,41,3,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,47.77272727272727,9.333333333333334,0.3333333333333333,0.13529866117404737,0.0028321318228630276,0.21485581874356333,0.7851441812564367,0.9567827130852342,2.0
Existing Customer,59,1,46,4,1,2,14784.0,1374,13410.0,0.9209999999999999,1197,23,1.3,0.09300000000000001,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,52.04347826086956,15.333333333333334,0.5,0.08096590909090909,0.0015557359307359307,0.0929383116883117,0.9070616883116883,0.7084615384615384,2.0
Existing Customer,63,1,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,1,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,47.6,18.666666666666668,0.6666666666666666,0.1863925599608419,0.003915810083210965,0.09887420460107685,0.9011257953989231,0.843,0.6666666666666666
Existing Customer,44,3,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,58.44444444444444,11.333333333333334,0.4,0.10415841584158415,0.0017821782178217822,0.0,1.0,0.33418204964990456,1.0
Existing Customer,47,4,42,6,0,0,4785.0,1362,3423.0,0.7390000000000001,1045,38,0.9,0.285,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,27.5,42.0,0.0,0.21839080459770116,0.007941483803552769,0.2846394984326019,0.7153605015673982,0.8211111111111112,0.0
Existing Customer,53,3,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.6579999999999999,0,1,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,41.52,8.25,1.0,0.3770432255721032,0.009081002542680712,0.6578278241917908,0.34217217580820924,0.3800077790742901,1.5
Existing Customer,53,2,48,2,5,1,2451.0,1690,761.0,1.3230000000000002,1596,26,1.6,0.69,0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,61.38461538461539,24.0,0.5,0.6511627906976745,0.010607915136678907,0.689514483884129,0.31048551611587105,0.826875,0.2
Existing Customer,41,4,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.6669999999999998,0.282,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,66.20833333333333,12.0,0.5,0.17807912137173595,0.002689678359296201,0.2820800179311891,0.7179199820688109,1.035392921415717,2.0
Existing Customer,53,2,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,50.392857142857146,9.5,0.6,0.5324528301886793,0.010566037735849057,0.5622641509433962,0.4377358490566038,1.75,1.5
Existing Customer,58,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.7140000000000001,0.135,0,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,53.791666666666664,16.333333333333332,0.3333333333333333,0.10282755874153723,0.0019115890083632018,0.13508562325766627,0.8649143767423337,0.726890756302521,1.0
Existing Customer,55,1,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,32.72093023255814,18.0,0.25,0.3997159090909091,0.012215909090909092,0.54375,0.45625,1.0559006211180124,0.5
Existing Customer,55,3,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,50.729729729729726,9.0,0.5,0.6184514003294893,0.012191103789126854,0.757166392092257,0.242833607907743,1.465986394557823,1.5
Existing Customer,42,4,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,43.90909090909091,9.0,1.5,0.06259314456035768,0.0014255167498218105,0.0,1.0,0.7208333333333333,1.0
Existing Customer,57,1,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.24100000000000002,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,52.285714285714285,16.333333333333332,0.6666666666666666,0.39869281045751637,0.007625272331154684,0.24128540305010893,0.7587145969498911,2.3741007194244603,0.6666666666666666
Attrited Customer,66,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.14300000000000002,0.077,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44.0,14.0,0.6,0.08931743212382644,0.0020299416391778738,0.07675716823141335,0.9232428317685867,7.356643356643356,0.75
Existing Customer,45,3,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018000000000000002,0,1,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,39.607142857142854,13.666666666666666,1.0,0.034200949855054584,0.0008635045950780238,0.017825201998396347,0.9821747980016037,2.19831223628692,1.0
Existing Customer,51,2,44,4,1,0,6205.0,2204,4001.0,0.8029999999999999,1347,28,0.556,0.355,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,48.107142857142854,44.0,0.0,0.2170829975825947,0.004512489927477841,0.35519742143432714,0.6448025785656728,1.4442446043165464,0.0
Existing Customer,50,1,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,53.21212121212121,10.75,1.0,0.10147942672214517,0.0019070735090152566,0.14545769764216365,0.8545423023578363,1.2075,1.5
Existing Customer,49,3,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,54.875,18.5,0.2,0.4495647721454173,0.00819252432155658,0.0,1.0,1.214,0.5
Existing Customer,38,4,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,45.30434782608695,7.0,1.5,0.10600203458799592,0.0023397761953204478,0.20905391658189218,0.7909460834181078,1.065430752453653,1.0
Existing Customer,49,4,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.3330000000000002,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,51.57142857142857,7.5,1.0,0.041835670413721174,0.0008112179858616293,0.0,1.0,1.2160540135033757,1.5
Existing Customer,56,2,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,64.48148148148148,45.0,0.0,0.762593079281647,0.011826544021024968,0.6263688129653964,0.3736311870346036,3.938775510204082,0.0
Existing Customer,59,1,52,3,2,2,2548.0,2020,528.0,2.3569999999999998,1719,27,1.7,0.7929999999999999,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,63.666666666666664,17.333333333333332,0.6666666666666666,0.6746467817896389,0.010596546310832025,0.792778649921507,0.20722135007849293,1.3864705882352941,1.0
Existing Customer,46,3,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.07400000000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,45.074074074074076,10.0,0.75,0.06254496865042657,0.0013876040703052729,0.07374858669955803,0.926251413300442,0.98375,1.0
Existing Customer,52,1,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,1,1,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,28.5,20.0,0.2,0.24025289778714437,0.008429926238145416,0.2585879873551106,0.7414120126448893,1.04,1.0
Existing Customer,52,3,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,62.6,13.666666666666666,0.3333333333333333,0.7162471395881007,0.011441647597254004,0.5907704042715485,0.4092295957284516,1.1557305336832895,0.6666666666666666
Attrited Customer,54,1,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,37.10526315789474,20.0,0.5,0.4901619968017799,0.013210039630118891,0.561774316901898,0.4382256830981019,1.1077777777777778,0.3333333333333333
Existing Customer,66,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,51.21052631578947,18.0,0.6666666666666666,0.6136865342163356,0.011983601387574897,0.6871649321980448,0.31283506780195525,0.6365054602184087,0.5
Existing Customer,49,2,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,1,0,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,40.4,36.0,0.0,0.07154784192683297,0.0017709861863077468,0.12735920659818853,0.8726407934018114,2.656,0.0
Attrited Customer,56,2,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,1,1,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,40.13333333333333,9.0,3.0,0.038176168431733146,0.0009512334326843807,0.0,1.0,2.85989010989011,1.0
Existing Customer,49,4,36,6,4,2,3298.0,2200,1098.0,0.6779999999999999,1052,32,0.6,0.667,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,32.875,12.0,0.3333333333333333,0.31898120072771374,0.009702850212249849,0.667070952092177,0.3329290479078229,1.13,0.5
Existing Customer,49,3,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,32.375,36.0,0.0,0.46216987865810133,0.014275517487508922,0.8433261955745895,0.15667380442541043,1.25,0.0
Existing Customer,56,2,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.4169999999999998,0.42200000000000004,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,49.10344827586207,12.5,0.75,0.31942575145805296,0.006505159264244055,0.4217137729923733,0.5782862270076268,0.7812279463655611,1.5
Existing Customer,44,5,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,54.36,11.666666666666666,0.5,0.21664275466284075,0.003985333970986769,0.1559062649450024,0.8440937350549976,2.100646352723915,2.0
Existing Customer,42,2,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,43.25925925925926,8.5,0.75,0.3501199040767386,0.008093525179856115,0.5254796163069544,0.47452038369304556,0.5519999999999999,0.75
Existing Customer,55,3,47,4,2,3,3436.0,2016,1420.0,0.9009999999999999,1097,33,0.833,0.5870000000000001,0,1,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,33.24242424242424,11.75,0.75,0.3192665890570431,0.00960419091967404,0.5867287543655413,0.41327124563445866,1.0816326530612244,1.5
Attrited Customer,48,2,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,46.06666666666667,7.0,2.0,0.02001970100822807,0.0004345810638544443,0.0,1.0,1.526,1.0
Existing Customer,39,1,33,5,3,3,5926.0,1251,4675.0,0.9440000000000001,1316,28,1.1540000000000001,0.21100000000000002,0,1,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,47.0,8.25,0.6,0.2220722240971988,0.004724940938238272,0.21110361120485993,0.78889638879514,0.8180242634315424,1.0
Existing Customer,44,4,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.08800000000000001,0,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,49.07692307692308,10.666666666666666,1.0,0.05326209458613349,0.001085277789372626,0.08774053512543306,0.9122594648745669,1.3601637107776263,0.5
Existing Customer,53,2,44,4,2,2,14734.0,1634,13100.0,0.9890000000000001,1289,23,0.917,0.111,0,1,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,56.04347826086956,14.666666666666666,0.5,0.08748472919777385,0.0015610153386724584,0.11089995927786073,0.8891000407221392,1.078516902944384,1.0
Existing Customer,51,4,38,4,1,4,34516.0,1515,33001.0,0.5920000000000001,1293,32,0.6,0.044000000000000004,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,40.40625,7.6,1.0,0.0374608877042531,0.0009271062695561478,0.043892687449298876,0.9561073125507011,0.9866666666666668,4.0
Existing Customer,57,2,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,38.65714285714286,13.0,0.6,0.20549817739975698,0.00531591737545565,0.27597205346294046,0.7240279465370595,0.9295352323838081,1.0
Existing Customer,44,2,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.7040000000000001,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,40.42857142857143,5.0,0.5,0.5431861804222649,0.013435700575815739,0.7044145873320538,0.29558541266794625,1.8057553956834531,1.0
Existing Customer,49,2,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.6559999999999999,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,98.23529411764706,10.666666666666666,1.0,0.989922940130409,0.01007705986959099,0.6561944279786603,0.34380557202133966,0.7145833333333333,1.0
Existing Customer,50,2,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,1,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,55.8,12.666666666666666,0.3333333333333333,0.03308300395256917,0.0005928853754940712,0.05256916996047431,0.9474308300395257,0.536,1.0
Existing Customer,51,4,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,0,0,0,37.80487804878049,10.5,1.0,0.04490670993162591,0.0011878549078688145,0.051077761038359024,0.948922238961641,1.2057142857142857,1.5
Existing Customer,55,2,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.28600000000000003,0.467,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,42.77777777777778,10.5,0.6,0.6949458483754513,0.016245487364620937,0.4666064981949459,0.5333935018050542,2.65034965034965,1.0
Existing Customer,54,1,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,59.80952380952381,10.75,0.75,0.4316151202749141,0.007216494845360825,0.697594501718213,0.3024054982817869,1.9224999999999999,1.5
Existing Customer,42,5,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,1,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,39.82857142857143,12.333333333333334,0.3333333333333333,0.06083882512111029,0.0015275171300135294,0.06668703356173351,0.9333129664382664,0.793103448275862,1.0
Existing Customer,44,1,35,3,3,3,24312.0,1932,22380.0,1.3119999999999998,1341,24,1.182,0.079,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,55.875,8.75,1.0,0.055157946692991115,0.0009871668311944718,0.07946692991115499,0.920533070088845,1.1099830795262267,1.0
Existing Customer,53,2,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,1,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,39.06060606060606,12.0,0.4,0.24449924127465858,0.00625948406676783,0.28736722306525037,0.7126327769347496,1.9701149425287356,0.6666666666666666
Existing Customer,44,4,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,48.34782608695652,12.0,0.3333333333333333,0.15885714285714286,0.003285714285714286,0.3595714285714286,0.6404285714285715,0.2533333333333333,0.5
Existing Customer,37,3,29,4,4,2,7038.0,1801,5237.0,0.7509999999999999,2339,57,0.966,0.256,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,41.03508771929825,9.666666666666666,0.5,0.3323387325944871,0.008098891730605285,0.25589656152316,0.74410343847684,0.7774327122153208,0.5
Existing Customer,49,3,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.7190000000000001,0,1,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,63.82608695652174,10.0,0.3333333333333333,0.5788643533123028,0.009069400630914827,0.7188485804416404,0.2811514195583596,1.9915014164305949,2.0
Existing Customer,47,2,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,38.114285714285714,12.666666666666666,0.3333333333333333,0.04615278162192084,0.0012109050650429007,0.06570024910047052,0.9342997508995294,2.125,0.6666666666666666
Existing Customer,47,3,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,35.53658536585366,37.0,0.0,0.17007120345511847,0.004785805999766546,0.19785222364888524,0.8021477763511148,0.8796033994334278,0.0
Existing Customer,44,1,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044000000000000004,0,1,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,55.275862068965516,12.0,0.3333333333333333,0.046442229690578284,0.000840190056785259,0.04441418472592421,0.9555858152740758,1.7566539923954372,1.0
Attrited Customer,55,4,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.7140000000000001,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,51.25,11.25,1.5,0.2849860982391103,0.005560704355885079,0.0,1.0,0.8193277310924368,0.75
Existing Customer,59,1,52,2,3,3,10133.0,1417,8716.0,0.38299999999999995,1068,20,0.818,0.14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,53.4,13.0,1.5,0.1053982038882858,0.0019737491364847527,0.13984012631994475,0.8601598736800553,0.46821515892420534,1.0
Existing Customer,53,1,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,1,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,58.888888888888886,11.666666666666666,0.4,0.0460655927685711,0.0007822459149379998,0.035316954455904506,0.9646830455440955,0.5645,0.5
Existing Customer,52,2,47,5,3,0,3085.0,1910,1175.0,0.9209999999999999,1531,35,0.667,0.619,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,43.74285714285714,47.0,0.0,0.4962722852512156,0.011345218800648298,0.6191247974068071,0.38087520259319285,1.3808095952023987,0.0
Existing Customer,53,2,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.10800000000000001,0,1,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,39.096774193548384,17.5,0.25,0.06365546218487395,0.0016281512605042018,0.10798319327731093,0.8920168067226891,0.8407202216066482,0.5
